AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2022;10;Francia;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;72,2;63,92;84,74;54,55;75097560
2022;10;Francia;Illes Balears;2022Illes Balears;Illes Balears;44,78;22,16;52,04;77,68;129479670
2022;10;Italia;Andalucía;2022Andalucía;Granada;70,58;53,89;87,47;81,34;102913750
2022;10;Italia;Andalucía;2022Andalucía;Málaga;78,17;76,02;90,46;57,39;102913750
2022;10;Italia;Illes Balears;2022Illes Balears;Illes Balears;80,12;76,74;93,78;72,22;129479670
2022;10;Reino Unido;Andalucía;2022Andalucía;Málaga;82,35;63,67;88,08;87,32;102913750
2022;10;Reino Unido;Andalucía;2022Andalucía;Sevilla;79,04;44,86;94,42;95,85;102913750
2022;10;Reino Unido;Canarias;2022Canarias;Las Palmas;82,6;65,31;96,94;75,7;120812470
2022;10;Reino Unido;Canarias;2022Canarias;Santa Cruz de Tenerife;84,38;66,71;98,09;91,49;120812470
2022;10;Reino Unido;Cataluña;2022Cataluña;Barcelona;77,57;53,79;85,1;87,67;147148600
2022;10;Reino Unido;Comunidad de Madrid;2022Comunidad de Madrid;Madrid;69,18;39,83;89,24;91,99;57762060
2022;10;Reino Unido;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;78,32;59,44;95,13;81,86;75097560
2022;10;Reino Unido;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;74,21;52,34;83,22;87,5;75097560
2022;10;Reino Unido;Illes Balears;2022Illes Balears;Illes Balears;79,9;63,51;90,31;83,03;129479670
2022;10;Total;Andalucía;2022Andalucía;Almería;84,31;68,56;92,12;84,44;102913750
2022;10;Total;Andalucía;2022Andalucía;Cádiz;84,45;68,81;92,06;84,74;102913750
2022;10;Total;Andalucía;2022Andalucía;Córdoba;83,74;68,4;89,61;85,34;102913750
2022;10;Total;Andalucía;2022Andalucía;Granada;85,94;70,9;93,46;86,51;102913750
2022;10;Total;Andalucía;2022Andalucía;Huelva;82,6;66,84;91,19;80,77;102913750
2022;10;Total;Andalucía;2022Andalucía;Jaén;83,6;65,77;91,01;86,27;102913750
2022;10;Total;Andalucía;2022Andalucía;Málaga;88,27;71,64;95,02;93,08;102913750
2022;10;Total;Andalucía;2022Andalucía;Sevilla;84,3;64,46;91,11;90,51;102913750
2022;10;Total;Aragón;2022Aragón;Huesca;85,9;72,57;94,38;83,26;9213130
2022;10;Total;Aragón;2022Aragón;Teruel;75,81;69,66;58,61;89,32;9213130
2022;10;Total;Aragón;2022Aragón;Zaragoza;85,91;66,62;94,94;89,76;9213130
2022;10;Total;Canarias;2022Canarias;Las Palmas;86,18;72,96;95,91;82,09;120812470
2022;10;Total;Canarias;2022Canarias;Santa Cruz de Tenerife;83,19;68,53;91,73;80,46;120812470
2022;10;Total;Cantabria;2022Cantabria;Cantabria;84,48;71,23;94,36;79,2;3625070
2022;10;Total;Castilla - La Mancha;2022Castilla - La Mancha;Albacete;83,82;68,84;86,49;88,9;8851320
2022;10;Total;Castilla - La Mancha;2022Castilla - La Mancha;Ciudad Real;81,65;70,52;82,95;82,44;8851320
2022;10;Total;Castilla - La Mancha;2022Castilla - La Mancha;Cuenca;83,27;65,91;88,15;88,19;8851320
2022;10;Total;Castilla - La Mancha;2022Castilla - La Mancha;Guadalajara;83,05;66,21;83,89;92,06;8851320
2022;10;Total;Castilla - La Mancha;2022Castilla - La Mancha;Toledo;84,61;68,46;89,18;89,29;8851320
2022;10;Total;Castilla y León;2022Castilla y León;Burgos;84,74;67,07;90,98;89,31;19908870
2022;10;Total;Castilla y León;2022Castilla y León;León;82,6;71,56;91,51;74,72;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Palencia;82,37;61,15;93,95;83,35;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Salamanca;84,17;69,26;89,24;86,49;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Segovia;81,68;63,32;88,01;85,11;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Soria;81,81;60,85;92,3;83,45;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Valladolid;80,95;64,74;89,68;78,51;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Zamora;80,83;63,77;83,01;87,17;19908870
2022;10;Total;Castilla y León;2022Castilla y León;Ávila;84,21;70,05;93,21;80,91;19908870
2022;10;Total;Cataluña;2022Cataluña;Barcelona;82,3;62,7;87,59;88,87;147148600
2022;10;Total;Cataluña;2022Cataluña;Girona;84,41;71,97;84,24;90,18;147148600
2022;10;Total;Cataluña;2022Cataluña;Lleida;81,5;62,59;82,3;92,13;147148600
2022;10;Total;Cataluña;2022Cataluña;Tarragona;83,64;68,92;84,51;90,43;147148600
2022;10;Total;Comunidad Foral de Navarra;2022Comunidad Foral de Navarra;Navarra;81,03;60,62;90,84;82,38;6680800
2022;10;Total;Comunidad de Madrid;2022Comunidad de Madrid;Madrid;84,4;65,95;91,43;88,76;57762060
2022;10;Total;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;84,1;70,31;93,18;80,21;75097560
2022;10;Total;Comunitat Valenciana;2022Comunitat Valenciana;Castellón/Castelló;86,55;70,61;92,48;90,51;75097560
2022;10;Total;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;84,62;68,04;91,59;86,91;75097560
2022;10;Total;Extremadura;2022Extremadura;Badajoz;81,75;66,44;90,96;78,13;6756390
2022;10;Total;Extremadura;2022Extremadura;Cáceres;81,82;68,18;80,87;88,43;6756390
2022;10;Total;Galicia;2022Galicia;A Coruña;81,11;65,26;91,62;76,19;17722870
2022;10;Total;Galicia;2022Galicia;Lugo;80,09;59,57;88,14;83,11;17722870
2022;10;Total;Galicia;2022Galicia;Ourense;79,89;61,35;88,88;79,29;17722870
2022;10;Total;Galicia;2022Galicia;Pontevedra;80,65;66,41;91,91;72,63;17722870
2022;10;Total;Illes Balears;2022Illes Balears;Illes Balears;86,94;73,68;94,79;85,6;129479670
2022;10;Total;La Rioja;2022La Rioja;La Rioja;84,8;68,57;92,85;85,49;1308010
2022;10;Total;País Vasco;2022País Vasco;Araba/Álava;86,24;67,86;94,1;90,59;23385180
2022;10;Total;País Vasco;2022País Vasco;Bizkaia;82,2;64;91,14;82,62;23385180
2022;10;Total;País Vasco;2022País Vasco;Gipuzkoa;80,82;70,19;93,39;66,97;23385180
2022;10;Total;Principado de Asturias;2022Principado de Asturias;Asturias;84,28;71,12;92,05;81,3;4098650
2022;10;Total;Región de Murcia;2022Región de Murcia;Murcia;82,98;66,16;89,27;85,42;9521960
2022;11;Alemania;Canarias;2022Canarias;Santa Cruz de Tenerife;67,35;46,34;85,53;78,45;120812470
2022;11;Alemania;Cataluña;2022Cataluña;Barcelona;72,57;71,91;73,77;86,98;147148600
2022;11;España;Andalucía;2022Andalucía;Almería;68,53;56,94;55,87;84,74;102913750
